Model,AUC
Naive Bayes,0.8313636363636363
KNN,0.854004329004329
XGBoost,0.8642640692640692
LR,0.8652597402597403
CNN,0.8735497835497835
Soft Voting,0.8891774891774891
RF,0.8891883116883117
Stacking,0.8916666666666666
MLP,0.8952597402597403
SVM,0.8975757575757577
