"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AGTRAP",0.709690532287417,3.10608499076389,3.39200178857615,0.000959049622705565,0.999798845119145,-1.06647068472948
"DXO",0.685647955608773,1.34284055136852,3.33406792048971,0.00116027177605461,0.999798845119145,-1.20401859786144
"PERP",0.617207937227424,1.01544313457241,3.23396424575788,0.00160381700733552,0.999798845119145,-1.43731819532433
"RAB43",-0.577856292510679,1.47902632384464,-3.21833228708909,0.00168593405698103,0.999798845119145,-1.47324367434387
"FCGR1CP",0.895905758189414,1.1191575743958,3.16928840816386,0.00196970841908927,0.999798845119145,-1.58505880452361
"APOE",0.898345467390302,2.50485715459626,3.16486954997575,0.00199734768988212,0.999798845119145,-1.59506615624414
"ADAT3",0.443143277611594,0.414509897300885,3.14997827903908,0.00209316855997006,0.999798845119145,-1.6287081008865
"TPM2",-0.687900902367521,3.41504510648458,-3.10132375453954,0.00243684326104101,0.999798845119145,-1.73773906791537
"LIMK1",0.468415349414121,3.62216820747742,3.05576354254593,0.00280542520838409,0.999798845119145,-1.83859373435319
"RNU1-34P",-0.778117236144604,0.78319437702432,-3.03316123454371,0.00300683635263547,0.999798845119145,-1.88817805538239
"MLEC",0.430276920611551,3.14154049921785,3.02880013765291,0.00304720486983083,0.999798845119145,-1.89771083747642
"RNA5SP122",-0.782770999433827,0.692653393680782,-3.01477899052154,0.00318041027164399,0.999798845119145,-1.92828344730259
"TMEM216",0.768269955522898,2.14060547464628,3.00292310596096,0.00329721975010788,0.999798845119145,-1.95404440914018
"SUV39H1",0.630083552412996,1.86871206196058,2.99311822760269,0.00339679992003944,0.999798845119145,-1.97528615006765
"IER5L",0.74141232091634,1.87862538794082,2.98564686065508,0.00347453525151783,0.999798845119145,-1.9914342781938
"TMEM51",0.595251682082265,0.864681809855607,2.95547591009999,0.00380542805568069,0.999798845119145,-2.05630677229314
"MDK",0.625377323793372,1.73801725401433,2.94094782363443,0.00397490137995794,0.999798845119145,-2.08735115942365
"ICOS",0.559346599668042,0.786392350692459,2.9375019360656,0.00401610451123513,0.999798845119145,-2.09469601283091
"RNU6-13P",-0.899694022329024,1.02026131127674,-2.92026278997736,0.00422819862040192,0.999798845119145,-2.13133420338003
"CT45A11P",-0.63329904436976,0.659903159488666,-2.9106263833518,0.00435119488338499,0.999798845119145,-2.1517366687395
"KANK3",0.631067195820342,2.21405733950371,2.905703695655,0.00441528720021225,0.999798845119145,-2.16213757306815
"LINC02773",0.692142527535255,1.14070433808544,2.8764234771231,0.00481476253393967,0.999798845119145,-2.22370039086974
"TMEM198B",0.495158306094113,0.84093251545919,2.87627687521166,0.00481684348502932,0.999798845119145,-2.22400732377244
"SUMO4",-0.440129349020797,0.326001314978246,-2.86700411300259,0.00495015438089236,0.999798845119145,-2.24339477576849
"GET3",0.441952307837601,5.46109859654687,2.86638428490768,0.00495918486624438,0.999798845119145,-2.24468885136931
"ASGR2",0.735669051075082,2.39253518010494,2.86572162701788,0.00496885605005289,0.999798845119145,-2.2460720891731
"CYP2D6",-0.457108822145927,0.444242959250186,-2.84877547929484,0.00522212578799108,0.999798845119145,-2.2813550216652
"KDM6A",-0.318790629500788,1.65934909524363,-2.83620897942558,0.00541751216268424,0.999798845119145,-2.3074064342381
"ANGEL1",0.535425242009979,0.95955451796097,2.83477125419676,0.00544028748466095,0.999798845119145,-2.31038082283826
"BBS5",0.388139180421738,0.355425183687022,2.82655613060297,0.00557211363296588,0.999798845119145,-2.32735219591383
