Num_Features,MIC,GBDT,Relief,TSP
1,0.8538744588744589,0.8538744588744589,0.8471645021645022,0.8538744588744589
2,0.8776406926406928,0.8882683982683982,0.8868831168831168,0.8776406926406928
3,0.8950000000000001,0.8882683982683982,0.8981168831168832,0.8950000000000001
4,0.898051948051948,0.8996103896103895,0.898051948051948,0.8956709956709956
5,0.8999134199134199,0.9051082251082251,0.8938528138528138,0.898051948051948
6,0.8993073593073593,0.9063852813852813,0.8993073593073593,0.8993073593073593
7,0.913051948051948,0.913051948051948,0.913051948051948,0.913051948051948
