Model,AUC
XGBoost,0.8956385281385282
RF,0.8961038961038961
LR,0.8997402597402597
Stacking,0.9008874458874458
KNN,0.9015151515151516
Soft Voting,0.9033333333333333
MLP,0.9045670995670996
SVM,0.908138528138528
CNN,0.9106277056277057
Naive Bayes,0.913051948051948
